Date,AL,AK,AS,AZ,AR,CA,CO,CT,DE,DC,FM,FL,GA,GU,HI,ID,IL,IN,IA,KS,KY,LA,ME,MH,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,MP,OH,OK,OR,PW,PA,PR,RI,SC,SD,TN,TX,UT,VT,VI,VA,WA,WV,WI,WY,Unknown
03-01,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,11,0,1,0,44
03-02,0,0,0,1,0,21,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,18,0,1,0,45
03-03,0,0,0,2,0,25,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,27,0,1,0,45
03-04,0,0,0,2,0,35,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,1,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,39,0,1,0,45
03-05,0,0,0,2,0,51,0,0,0,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2,0,23,1,0,0,0,0,3,0,0,0,2,0,0,1,4,0,0,0,0,70,0,1,0,45
03-06,0,0,0,3,0,59,4,0,0,0,0,4,3,0,0,0,5,1,0,0,1,0,0,0,3,7,0,1,0,0,0,1,2,2,2,0,36,2,0,0,0,0,3,0,2,0,2,0,0,1,5,0,0,0,0,83,0,1,0,45
03-07,0,0,0,5,0,82,8,2,0,0,0,8,6,0,1,0,6,1,0,0,1,0,0,0,3,7,0,1,0,0,0,1,2,2,4,0,76,2,0,0,0,1,6,0,2,0,3,2,0,1,9,1,0,0,0,107,0,1,0,21
03-08,0,0,0,5,0,98,8,1,0,0,0,11,5,0,1,0,7,2,0,1,1,0,0,0,5,24,0,1,0,1,0,1,4,6,5,0,106,2,0,0,0,1,14,0,6,0,3,2,0,3,12,1,1,0,2,128,0,1,0,2
03-09,0,0,0,5,0,104,8,1,0,0,0,14,10,0,2,0,7,3,3,1,4,1,0,0,5,24,0,2,0,1,0,3,4,5,5,0,142,2,0,0,0,1,14,0,7,0,3,6,0,3,14,1,1,0,2,128,0,1,0,2
03-10,0,0,0,6,0,144,15,2,0,5,0,15,17,0,2,0,12,6,8,1,6,1,0,0,8,92,0,3,0,1,0,3,4,4,15,0,173,7,0,0,3,2,15,0,12,0,3,7,0,7,13,2,1,0,7,267,0,3,0,21
