location,text,hashtags,sentiment
,Use the non-dominant hand to open door knobs. It is less likely to touch your face with that hand. #COVID19 https://t.co/ooNDJer4DQ,"[{'text': 'COVID19', 'indices': [116, 124]}]",0.32926666666666665
"California, USA","AACN is advocating for a federal response to #COVID19. Join us, make your voice heard and send a message to your Congressional representatives. #Coronavirus","[{'text': 'COVID19', 'indices': [57, 65]}]",0.09866666666666667
Newfoundland and Labrador,Please use our online self-assessment tool to help determine if you should be tested for #COVID19 https://t.co/e70dUfsMCa #GovNL #covid19nfld https://t.co/ieVNagkye9,"[{'text': 'COVID19', 'indices': [104, 112]}]",0.6124
"Pleasant Hill, CA","I just voted no on the partisan #COVID19  bill. Here's why: while nurses are being forced to make their own masks and gowns, McConnell and Trump are busy creating a taxpayer-funded slush fund for their buddies. I will stay here as long it takes to get this done the right way.","[{'text': 'COVID19', 'indices': [46, 54]}]",-0.1661
"Brooklyn, NY","READ: Letter to @NYGovCuomo &amp; @NYCMayor calling for emergency action to address the survival needs of homeless NYers amid #COVID19 pandemic.

80K people are homeless in NYC. Ppl need housing, food &amp; sanitation. Not policing or jails. #HomelessCantStayHome

https://t.co/nR8Y6cv7iu https://t.co/w3s09s2RSx",[],-0.07636
"Los Angeles, CA & Brooklyn, NY",Let’s Get It! 🏋️‍♂️ #zerodaysoff #gymlife #COVID19 #flatteningthecurve https://t.co/2i1kbhyl3R,"[{'text': 'zerodaysoff', 'indices': [40, 52]}, {'text': 'gymlife', 'indices': [53, 61]}, {'text': 'COVID19', 'indices': [62, 70]}, {'text': 'flatteningthecurve', 'indices': [71, 90]}]",0.0
Hong Kong,"""I stopped him and said, 'Look, this isn't a movie. You are not Will Smith in I Am Legend. Go home.""
This is the updated compilation of Italian Mayors losing it at people violating #Covid19 quarantine. Yes, subtitles are accurate. https://t.co/60V4Csuonb",[],-0.09188333333333336
Never ask it may surprise you,"australia’s 3 levels of #covid19 response — a work in progress:

• stage “australians keep being australian. go sharkies!”
• stage 1 👈 you are here
• stage 2 — to be determined.","[{'text': 'covid19', 'indices': [39, 47]}]",0.4109
U.S.A ,"BREAKING:

@SpeakerPelosi is officially one of the worst human beings our Country currently knows....

Using the CoronaVirus for her own political schemes....utterly shameful! 

Disgraceful....

RT! 

#COVID19",[],-0.2915
,"THANK YOU #HRSocialHour @Jon_Thurmond and @wyndall93 @HRSocialHour for another informative and helpful chat!  
GRATEFUL for this #HRCommunity!!! #EmergencyPreparedness #CrisisCommunication #Covid19 https://t.co/9qrrtt0cja","[{'text': 'HRSocialHour', 'indices': [22, 35]}]",0.47556666666666664
